date,crb index
2021-09-29,241.4375
2021-09-30,243.3182
2021-10-01,244.8704
2021-10-04,247.743
2021-10-05,250.6221
2021-10-06,246.8322
2021-10-07,249.0749
2021-10-08,250.2244
2021-10-11,251.2152
2021-10-12,250.702
2021-10-13,250.5252
2021-10-14,253.1102
2021-10-15,254.3212
2021-10-18,252.8567
2021-10-19,253.2413
2021-10-20,255.4721
2021-10-21,251.4824
2021-10-22,252.6315
2021-10-25,255.7214
2021-10-26,256.3602
2021-10-27,253.9849
2021-10-28,253.4787
2021-10-29,252.6535
2021-11-01,254.2846
2021-11-02,254.2557
2021-11-03,250.6261
2021-11-04,248.1438
2021-11-05,249.795
2021-11-08,250.3782
2021-11-09,251.4769
2021-11-10,249.4308
2021-11-11,252.405
2021-11-12,252.0103
2021-11-15,252.4084
2021-11-16,252.4429
2021-11-17,251.0009
2021-11-18,251.2428
2021-11-19,249.8194
2021-11-22,250.0703
2021-11-23,253.1303
2021-11-24,253.3836
2021-11-25,253.384
2021-11-26,241.0053
2021-11-29,239.9315
2021-11-30,232.9896
2021-12-01,232.1458
2021-12-02,233.3714
2021-12-03,234.5374
2021-12-06,237.3079
2021-12-07,239.9613
2021-12-08,241.4307
2021-12-09,239.5542
2021-12-10,240.1382
2021-12-13,239.548
2021-12-14,238.4573
2021-12-15,237.919
2021-12-16,241.5541
2021-12-17,239.3248
2021-12-20,235.813
2021-12-21,240.6161
2021-12-22,244.6678
2021-12-23,245.4474
2021-12-24,245.447
2021-12-27,249.1218
2021-12-28,248.5772
2021-12-29,249.6591
2021-12-30,248.7061
2021-12-31,247.0191
2022-01-03,247.6918
2022-01-04,250.3512
2022-01-05,251.633
2022-01-06,251.6785
2022-01-07,252.897
2022-01-10,251.5585
2022-01-11,256.8204
2022-01-12,260.6567
2022-01-13,258.2175
2022-01-14,260.9118
2022-01-17,260.912
2022-01-18,262.6527
2022-01-19,265.6997
2022-01-20,265.7794
2022-01-21,264.1572
2022-01-24,261.0935
2022-01-25,264.4851
2022-01-26,267.8304
2022-01-27,266.7469
2022-01-28,268.8105
2022-01-31,271.2265
2022-02-01,273.0192
2022-02-02,275.879
2022-02-03,276.4157
2022-02-04,277.8015
2022-02-07,276.9412
2022-02-08,275.8971
2022-02-09,278.7047
2022-02-10,278.1204
2022-02-11,279.7177
2022-02-14,282.2167
2022-02-15,278.6522
2022-02-16,282.0492
2022-02-17,280.3671
2022-02-18,280.3122
2022-02-21,280.312
2022-02-22,284.0522
2022-02-23,285.3285
2022-02-24,286.0691
2022-02-25,281.2086
2022-02-28,286.1425
2022-03-01,298.6736
2022-03-02,307.4364
2022-03-03,307.5567
2022-03-04,318.9941
2022-03-07,323.5532
2022-03-08,328.7564
2022-03-09,310.6429
2022-03-10,309.8313
2022-03-11,313.8608
2022-03-14,306.795
2022-03-15,299.2436
2022-03-16,298.4232
2022-03-17,309.2324
2022-03-18,310.8478
2022-03-21,318.6372
2022-03-22,318.1465
2022-03-23,325.8318
2022-03-24,324.2755
2022-03-25,326.9229
2022-03-28,318.33
2022-03-29,313.4936
2022-03-30,320.5436
2022-03-31,314.0253
2022-04-01,311.9018
2022-04-04,316.665
2022-04-05,317.2119
2022-04-06,311.8855
2022-04-07,313.4214
2022-04-08,317.287
2022-04-11,314.0716
2022-04-12,322.2714
2022-04-13,327.9484
2022-04-14,331.9212
2022-04-15,331.921
2022-04-18,336.2319
2022-04-19,326.6125
2022-04-20,326.985
2022-04-21,329.0813
2022-04-22,323.7933
2022-04-25,317.7568
2022-04-26,322.1622
2022-04-27,325.4113
2022-04-28,327.8776
2022-04-29,328.1502
2022-05-02,329.1221
2022-05-03,326.5994
2022-05-04,334.5748
2022-05-05,334.1555
2022-05-06,331.4545
2022-05-09,318.8447
2022-05-10,316.3385
2022-05-11,324.6534
2022-05-12,323.7692
2022-05-13,328.5956
2022-05-16,336.0801
2022-05-17,335.8939
2022-05-18,329.4789
2022-05-19,334.1517
2022-05-20,333.0769
2022-05-23,335.7381
2022-05-24,334.2055
2022-05-25,335.0911
2022-05-26,339.4571
2022-05-27,341.4494
2022-05-30,341.449
2022-05-31,337.2397
2022-06-01,340.9663
2022-06-02,344.2539
2022-06-03,344.45
2022-06-06,348.2592
2022-06-07,348.5812
2022-06-08,350.7491
2022-06-09,351.25
2022-06-10,347.2327
2022-06-13,342.6133
2022-06-14,336.4787
2022-06-15,335.5564
2022-06-16,338.1029
2022-06-17,329.4951
2022-06-20,329.495
2022-06-21,329.4755
2022-06-22,324.8534
2022-06-23,316.3785
2022-06-24,318.3747
2022-06-27,318.6608
2022-06-28,321.0495
2022-06-29,319.2965
2022-06-30,310.5706
2022-07-01,311.3106
2022-07-04,311.311
2022-07-05,296.7946
2022-07-06,294.6399
2022-07-07,304.205
2022-07-08,307.0718
2022-07-11,307.1454
2022-07-12,294.6086
2022-07-13,296.6761
2022-07-14,291.7039
2022-07-15,296.3991
2022-07-18,305.9553
2022-07-19,304.8315
2022-07-20,306.5274
2022-07-21,300.9913
2022-07-22,300.2875
2022-07-25,304.1924
2022-07-26,306.0754
2022-07-27,308.8576
2022-07-28,308.8152
2022-07-29,312.0838
2022-08-01,305.784
2022-08-02,303.2354
2022-08-03,301.1417
2022-08-04,300.6164
2022-08-05,300.4524
2022-08-08,301.3269
2022-08-09,304.2862
2022-08-10,309.3637
2022-08-11,315.5726
2022-08-12,313.9043
2022-08-15,309.7625
2022-08-16,307.7866
2022-08-17,309.0913
2022-08-18,310.6758
2022-08-19,312.5134
2022-08-22,313.4439
2022-08-23,317.1896
2022-08-24,319.9474
2022-08-25,317.7056
2022-08-26,320.2425
2022-08-29,323.1631
2022-08-30,314.4314
2022-08-31,311.0615
2022-09-01,304.8851
2022-09-02,304.7552
2022-09-05,304.755
2022-09-06,302.8713
2022-09-07,296.3523
2022-09-08,298.296
2022-09-09,304.5521
2022-09-12,308.3844
2022-09-13,306.4262
2022-09-14,307.0542
2022-09-15,301.3612
2022-09-16,299.107
2022-09-19,300.154
2022-09-20,299.924
2022-09-21,298.544
2022-09-22,298.161
2022-09-23,288.131
2022-09-26,283.73
2022-09-27,285.549
